id,dc_num,work_employed,work_onleave,work_temp_unemployed,work_looking,work_retired,work_disabled,work_other,work_occupation,work_self,inc_wage,inc_retempl,inc_self,inc_ss,inc_intdiv,inc_rent,inc_gov,inc_alimony,inc_child,inc_retsav,inc_wage_freq,inc_retempl_freq,inc_self_freq,inc_ss_freq,inc_intdiv_freq,inc_rent_freq,inc_gov_freq,inc_alimony_freq,inc_child_freq,inc_retsav_freq,paypref_b1,paypref_b2,paypref_nb1,paypref_nb2,paypref_lt10,paypref_10to25,paypref_25to50,paypref_50to100,paypref_100plus,mobile_howfunded,cc_num,paypref_web,cc_type_1,cc_type_2,cc_type_3,cc_type_4,cc_type_5,cc_rewards_1,cc_rewards_2,cc_rewards_3,cc_rewards_4,cc_rewards_5,cc_hasbal_1,cc_hasbal_2,cc_hasbal_3,cc_hasbal_4,cc_hasbal_5,cc_chip_1,cc_chip_2,cc_chip_3,cc_chip_4,cc_chip_5,dc_logo_1,dc_logo_2,dc_logo_3,dc_logo_4,dc_logo_5,dc_rewards_1,dc_rewards_2,dc_rewards_3,dc_rewards_4,dc_rewards_5,dc_acct_1,dc_acct_2,dc_acct_3,dc_acct_4,dc_acct_5,shops_online,last_income_date,paypref_b1_why,paypref_b2_why,paypref_nb1_why,paypref_nb2_why,paypref_web_why,e_exp_csh,e_exp_chk,e_exp_od,e_exp_cc,e_exp_heloc,e_exp_sav,e_exp_payday,e_exp_fam,e_exp_cover,e_exp_pawn,e_exp_csh_saved,e_exp_chk_saved,e_exp_sav_saved,e_exp_prepaid_saved,e_exp_tot_saved,e_exp_prepaid,interest_level,memory_lpd,memory_checkbook,memory_receipts,memory_finrec,memory_memory,memory_oth,next_income_date,scpc_date,gender,age,marital_status,highest_education,hispaniclatino,hispaniclatino_group,race_white,race_black,race_asian,race_other,hh_size,income_hh,homeowner,home_value,home_debt,other_assets,other_debts,ind_weight,census_division,_merge
103676,1,0,0,0,0,1,0,0,NA,NA,0,1,0,0,1,0,0,0,0,0,NA,4,NA,NA,4,NA,NA,NA,NA,NA,7,3,3,4,3,3,3,3,3,NA,3,10,2,2,4,NA,NA,1,1,1,NA,NA,0,0,0,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2018-09-28,3,NA,NA,3,3,0,0,0,0,0,2000,0,0,2000,0,0,2000,50000,0,52000,0,1,0,0,1,1,1,0,2018-11-30,2018-09-28,1,58,1,13,0,NA,1,0,1,0,2,160000,1,440000,0,500000,5000,0.9435210227966309,2,3
100009,1,0,0,0,0,0,1,0,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,7,6,3,1,3,3,3,3,3,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2018-09-13,3,3,3,1,NA,NA,NA,NA,500,NA,NA,NA,NA,500,NA,50,400,0,0,450,NA,2,0,0,1,1,0,0,2018-11-01,2018-09-19,0,68,2,13,0,NA,1,0,0,0,1,10000,0,NA,NA,1000,500,1.012147068977356,1,3
100901,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,4,1,1,1,4,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-10-10,8,3,9,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2018-10-24,2018-09-18,0,51,6,11,0,NA,0,1,0,0,2,30000,0,NA,NA,0,0,0.6804824471473694,1,3
103755,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,1,4,4,4,4,NA,1,4,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-10-10,8,8,3,1,8,0,1000,1000,0,0,0,0,0,2000,0,0,100,0,0,100,0,1,0,1,1,1,0,0,2018-10-25,2018-09-18,1,57,1,10,0,NA,1,0,0,0,2,50000,1,160000,80000,300000,4500,0.4246140420436859,1,3
101820,NA,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,3,2,1,3,3,3,3,NA,1,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,3,1,6,6,0,0,0,2000,0,0,0,0,2000,0,300,5000,1000,0,6300,0,2,0,0,1,1,1,0,2018-10-10,2018-10-01,0,51,1,13,0,NA,0,0,1,0,5,300000,1,500000,0,500000,60000,2.1990468502044678,1,3
104682,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,NA,NA,NA,5,NA,NA,NA,NA,NA,7,2,3,2,3,3,3,3,3,NA,2,3,1,2,NA,NA,NA,1,1,NA,NA,NA,0,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2018-09-20,3,3,3,3,1,0,0,0,0,0,1000,0,0,1000,0,250,2000,8000,0,10250,0,2,0,1,1,0,0,0,2018-10-12,2018-09-22,1,53,1,14,0,NA,0,0,1,0,1,75000,1,350000,150000,50000,0,1.137405276298523,1,3
100779,1,0,0,0,0,1,0,0,NA,NA,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,4,1,3,4,4,4,4,4,NA,1,4,2,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-09-26,3,3,3,3,3,NA,NA,NA,NA,NA,2000,NA,NA,2000,NA,0,0,2000,0,2000,NA,1,0,1,1,0,0,0,2018-10-17,2018-09-20,1,65,1,9,0,NA,1,0,0,0,3,130000,1,300000,90000,100000,0,4.000321388244629,1,3
102396,1,0,0,0,0,1,0,0,NA,NA,0,0,0,1,0,0,1,0,0,0,NA,NA,NA,4,NA,NA,4,NA,NA,NA,6,2,3,1,1,3,3,3,3,NA,1,3,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-10-03,3,1,8,1,3,NA,NA,NA,1000,NA,NA,NA,NA,1000,NA,0,0,0,0,0,NA,1,0,1,1,1,1,0,2018-11-03,2018-09-23,0,67,5,13,0,NA,1,0,0,0,1,8400,0,NA,NA,100,18500,1.0056880712509155,1,3
100469,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,1,4,4,3,3,NA,1,4,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-10-01,8,7,8,7,2,0,500,NA,NA,NA,100,NA,NA,600,NA,0,500,100,0,600,NA,2,0,0,1,1,1,0,2018-11-01,2018-09-19,1,33,6,14,0,NA,0,0,1,0,1,80000,0,NA,NA,0,6000,4.00084114074707,1,3
100723,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,NA,NA,NA,5,NA,NA,NA,NA,NA,6,2,3,1,1,1,1,3,3,NA,1,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,3,3,9,3,0,2000,0,0,0,0,0,0,2000,0,150,11971,127,0,12248,0,1,0,1,1,0,0,0,2018-10-12,2018-09-21,1,51,6,9,0,NA,1,0,0,0,1,35000,1,220000,0,0,0,3.8506433963775635,1,3
101838,1,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,1,3,3,3,3,NA,2,3,2,1,NA,NA,NA,0,1,NA,NA,NA,0,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2018-10-17,6,3,3,3,3,NA,1000,NA,NA,NA,1000,NA,NA,2000,NA,0,3000,3000,0,6000,NA,2,0,1,1,0,1,0,2018-10-24,2018-09-22,1,47,1,13,0,NA,1,0,0,0,4,120000,1,170000,100000,50000,10000,0.24997363984584808,1,3
101566,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,6,1,4,4,4,4,NA,1,10,2,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-09-27,3,6,3,8,1,NA,500,NA,NA,NA,NA,NA,NA,500,NA,0,0,0,0,0,NA,1,0,0,0,1,1,0,2018-10-25,2018-09-18,0,31,6,14,0,NA,1,0,0,0,1,37000,0,NA,NA,10000,105000,0.45981138944625854,1,3
102443,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,3,1,1,1,3,3,3,NA,1,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-10-05,9,3,3,9,6,0,500,0,0,0,1500,0,0,2000,0,0,0,4604,0,4604,0,2,0,0,0,1,1,0,2018-10-19,2018-09-18,0,34,6,14,0,NA,1,0,0,0,1,48000,0,NA,NA,15000,1500,1.3490681648254395,1,3
103462,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,1,4,4,4,3,3,NA,1,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2018-09-21,3,3,2,3,3,0,500,0,0,0,1500,0,0,2000,0,0,800,1650,0,2450,0,1,0,1,1,1,0,0,2018-10-19,2018-09-18,1,54,2,14,0,NA,1,0,0,0,1,76000,1,340000,125000,15000,4500,0.24995779991149902,1,3
102626,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,4,4,4,4,3,NA,1,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2018-09-28,3,3,3,3,3,NA,NA,NA,NA,NA,2000,NA,NA,2000,NA,1000,4000,4900,0,9900,NA,2,0,0,0,0,1,0,2018-10-26,2018-09-18,1,49,1,13,0,NA,1,0,0,0,5,120000,1,980000,500000,100000,2500,0.5370712876319885,1,3
101884,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,4,3,4,4,NA,4,4,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,2018-10-19,3,3,3,3,NA,NA,NA,NA,NA,NA,2000,NA,NA,2000,NA,0,450,3000,0,3450,NA,2,0,0,0,0,1,0,2018-11-02,2018-09-18,1,35,1,13,0,NA,1,0,0,0,3,90000,1,260000,200000,35000,19000,0.4621831774711609,1,3
104455,2,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,1,0,NA,NA,1,NA,NA,NA,NA,NA,4,NA,4,7,4,1,1,1,4,4,3,NA,1,4,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,0,1,NA,NA,NA,1,2,NA,NA,NA,1,2018-10-04,9,3,3,1,3,0,1000,0,0,0,0,0,0,1000,0,0,0,100,0,100,0,2,0,0,1,0,1,0,NA,2018-09-19,0,34,4,10,0,NA,1,0,0,0,5,120000,1,400000,200000,100000,110000,2.253080368041992,1,3
102373,1,0,1,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,1,4,4,4,4,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-10-12,3,3,3,3,3,NA,1000,NA,NA,NA,500,NA,NA,1500,NA,0,0,500,0,500,NA,3,0,0,0,1,0,0,2018-10-26,2018-09-28,1,60,1,10,0,NA,1,0,0,0,2,85000,0,NA,NA,50000,65000,0.24996548891067505,2,3
102875,1,0,0,0,0,1,0,0,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,2,4,4,2,4,4,4,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-10-10,2,3,3,2,3,0,2000,0,0,0,0,0,0,2000,0,0,19000,0,0,19000,0,1,0,0,1,0,0,0,2018-12-11,2018-09-18,1,62,4,10,0,NA,1,0,0,0,1,2400,1,100000,0,300000,9000,0.2499569058418274,1,3
104563,1,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,2,NA,4,NA,NA,NA,NA,NA,NA,NA,3,7,3,1,3,3,3,3,3,NA,1,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2018-09-26,3,3,3,1,3,NA,NA,NA,NA,NA,2000,NA,NA,2000,NA,244,7754,4938,0,12936,NA,2,0,0,1,1,1,0,2018-10-12,2018-09-25,1,34,6,13,0,NA,1,0,0,0,2,160000,1,500000,314000,250,120000,4.000364780426025,1,3
104218,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,4,1,4,4,4,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2018-10-10,3,3,3,3,3,NA,NA,NA,NA,NA,2000,NA,NA,2000,NA,0,0,2500,0,2500,NA,2,0,0,0,0,1,0,2018-10-17,2018-10-01,1,56,1,13,0,NA,1,0,0,0,2,87000,0,NA,NA,30000,20000,0.24995540082454681,5,3
103150,4,1,0,0,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,NA,NA,9,1,NA,NA,NA,NA,NA,NA,4,1,8,1,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,0,2018-10-12,1,1,8,2,NA,0,500,0,0,0,0,0,0,500,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2018-10-25,2018-10-18,0,40,6,13,1,2,0,0,0,1,1,20000,0,NA,NA,0,2000,0.5745001435279846,1,3
102686,1,0,0,0,0,1,0,0,NA,NA,0,1,0,0,1,0,0,0,0,1,NA,4,NA,NA,5,NA,NA,NA,NA,5,3,7,3,1,3,3,3,3,3,NA,2,3,6,1,NA,NA,NA,1,1,NA,NA,NA,0,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-09-28,7,3,7,3,7,NA,2000,NA,NA,NA,NA,NA,NA,2000,NA,198,9000,26000,25,35223,NA,2,0,0,1,1,0,0,2018-10-31,2018-09-18,0,72,1,15,0,NA,1,0,0,0,2,75000,1,285000,0,800000,0,1.363113522529602,1,3
103006,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,3,4,4,4,3,3,NA,1,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-09-27,1,3,3,3,3,0,0,0,0,0,2000,0,0,2000,0,400,200,3000,0,3600,0,2,0,1,1,0,0,0,2018-10-19,2018-10-03,0,48,6,12,1,4,1,0,0,0,1,39000,1,130000,0,0,22000,1.4785492420196533,1,3
102172,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,4,3,4,4,4,3,3,NA,1,3,3,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-09-27,3,5,3,8,8,NA,NA,NA,2000,NA,NA,NA,NA,2000,NA,15,45,10000,50,10110,NA,2,0,0,1,0,0,1,2018-10-11,2018-10-01,0,33,1,13,0,NA,0,0,1,0,3,70000,0,NA,NA,60000,50000,1.6554396152496338,1,3
105416,NA,0,0,0,0,1,0,0,NA,NA,0,0,0,1,0,0,1,0,0,0,NA,NA,NA,4,NA,NA,4,NA,NA,NA,8,2,2,11,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2018-09-01,8,8,6,8,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,27,0,0,27,NA,4,0,1,1,1,0,0,2018-11-03,2018-09-20,0,67,4,9,0,NA,1,0,0,0,2,12800,0,NA,NA,2400,200,1.4375710487365723,1,3
