id,work_employed,work_onleave,work_temp_unemployed,work_looking,work_retired,work_disabled,work_oth,work_occupation,work_self,inc_wage,inc_retempl,inc_self,inc_ss,inc_intdiv,inc_rent,inc_gov,inc_alimony,inc_child,inc_retsav,inc_wage_freq,inc_retempl_freq,inc_self_freq,inc_ss_freq,inc_intdiv_freq,inc_rent_freq,inc_gov_freq,inc_alimony_freq,inc_child_freq,inc_retsav_freq,paypref_b1,paypref_b2,paypref_nb1,paypref_nb2,paypref_lt10,paypref_10to25,paypref_25to50,paypref_50to100,paypref_100plus,mobile_howfunded,cc_num,paypref_web,cc_type_1,cc_type_2,cc_type_3,cc_type_4,cc_type_5,cc_type_6,cc_rewards_1,cc_rewards_2,cc_rewards_3,cc_rewards_4,cc_rewards_5,cc_rewards_6,cc_hasbal_1,cc_hasbal_2,cc_hasbal_3,cc_hasbal_4,cc_hasbal_5,cc_hasbal_6,cc_chip_1,cc_chip_2,cc_chip_3,cc_chip_4,cc_chip_5,cc_chip_6,dc_num,dc_logo_1,dc_logo_2,dc_logo_3,dc_logo_4,dc_logo_5,dc_rewards_1,dc_rewards_2,dc_rewards_3,dc_rewards_4,dc_rewards_5,dc_acct_1,dc_acct_2,dc_acct_3,dc_acct_4,dc_acct_5,shops_online,last_income_date,paypref_b1_why,paypref_b2_why,paypref_nb1_why,paypref_nb2_why,paypref_web_why,e_exp_csh,e_exp_chk,e_exp_od,e_exp_cc,e_exp_heloc,e_exp_sav,e_exp_payday,e_exp_fam,e_exp_cover,e_exp_pawn,e_exp_csh_saved,e_exp_chk_saved,e_exp_sav_saved,e_exp_svc_saved,e_exp_tot_saved,cashwith_amnt_prim,cashwith_amnt_oth,cashwith_location,cashwith_num_prim,cashwith_num_oth,interest_level,memory_lpd,memory_checkbook,memory_receipts,memory_finrec,memory_oth,next_income_date,scpc_date,gender,age,marital_status,highest_education,hispaniclatino,hispaniclatino_group,race_white,race_black,race_asian,race_other,hh_size,income_hh,income_hh_gte500k,homeowner,home_value,home_debt,other_assets,other_debts,ind_weight,_merge
104351,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,3,NA,NA,NA,4,NA,NA,NA,NA,NA,2,3,1,3,1,1,3,3,3,NA,1,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2017-10-13,6,3,2,3,3,NA,2000,NA,NA,NA,NA,NA,NA,2000,NA,121,8425,4582,928,14056,100,0,1,5,NA,2,0,1,1,1,0,2017-10-31,2017-09-19,1,47,4,13,0,NA,1,0,0,0,1,14,NA,1,400000,100000,400000,3800,0.39683353900909424,3
103676,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,NA,NA,NA,4,NA,NA,NA,NA,NA,7,2,3,4,3,3,3,3,3,NA,2,3,2,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2017-10-04,4,3,7,3,7,0,0,0,2000,0,0,0,0,2000,0,0,0,20000,0,20000,60,0,1,1,NA,1,0,0,1,0,1,2017-10-18,2017-09-25,1,57,1,13,0,NA,1,0,1,0,2,16,NA,1,450000,0,100000,0,0.7414073944091797,3
100009,0,0,0,0,0,1,0,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,7,3,3,1,3,3,3,3,3,NA,1,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2017-10-01,3,3,3,1,1,0,300,0,0,0,0,0,0,300,0,0,600,0,0,600,300,0,1,1,NA,2,0,0,1,0,0,2017-11-01,2017-09-21,0,67,2,13,0,NA,1,0,0,0,1,4,NA,0,NA,NA,2000,800,0.4814712405204773,3
100901,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,4,1,1,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,NA,NA,0,0,0,NA,NA,1,2,2,NA,NA,0,NA,4,3,4,4,NA,0,0,0,0,0,0,0,0,0,0,11,223,0,0,234,100,10,1,4.348214149475098,8.696428298950195,1,1,0,0,0,0,2017-10-13,2017-09-20,0,50,6,11,0,NA,0,1,0,0,2,7,NA,0,NA,NA,0,0,0.47564697265625,3
102678,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,3,1,3,3,3,3,3,NA,2,3,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2017-10-20,7,3,7,9,7,NA,NA,NA,NA,2000,NA,NA,NA,2000,NA,0,0,0,0,0,100,0,1,1,NA,2,0,0,0,1,1,NA,2017-10-23,1,58,1,13,0,NA,1,0,0,0,4,17,NA,1,700000,189000,250000,10000,0.633095920085907,3
101820,1,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,NA,2,NA,NA,NA,5,4,NA,NA,NA,NA,7,3,2,1,1,3,3,3,3,NA,2,3,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2017-10-05,3,1,6,9,7,200,800,NA,NA,NA,1000,NA,NA,2000,NA,200,800,1000,0,2000,100,0,1,1,NA,3,0,1,0,0,0,2017-11-22,2017-10-21,0,50,1,13,0,NA,0,0,1,0,5,17,NA,1,500000,0,500000,200000,2.1626057624816895,3
104682,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,3,2,3,3,3,3,3,NA,2,3,6,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2017-10-20,3,1,3,3,1,0,500,0,0,0,500,0,0,1000,0,500,4500,5000,200,10200,40,0,1,2,NA,2,0,0,0,0,0,2017-11-03,2017-09-22,1,52,1,14,0,NA,0,0,1,0,1,14,NA,1,450000,200000,200000,0,0.7142770290374756,3
100779,0,0,0,0,1,0,0,NA,NA,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,4,4,1,1,4,4,4,4,NA,1,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2017-10-25,10,3,3,3,3,NA,NA,NA,2000,NA,NA,NA,NA,2000,NA,700,0,0,0,700,60,20,1,1,4.348214149475098,1,0,0,1,1,0,2017-11-15,2017-09-21,1,64,1,9,0,NA,1,0,0,0,3,16,NA,1,250000,80000,100000,0,4.000246524810791,3
102396,0,0,0,0,1,1,0,NA,NA,0,0,0,1,0,0,1,0,0,0,NA,NA,NA,4,NA,NA,4,NA,NA,NA,3,1,3,1,1,3,3,3,3,NA,1,3,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2017-10-03,6,3,6,3,3,0,0,0,500,0,0,0,0,500,0,0,0,0,0,0,40,20,2,2,2,2,0,0,1,0,0,2017-11-03,2017-09-19,0,66,5,13,0,NA,1,0,0,0,1,3,NA,0,NA,NA,0,12500,0.4814712405204773,3
100469,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,3,4,1,3,3,3,7,NA,1,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2017-10-02,1,5,3,3,1,0,500,0,0,0,0,0,0,500,0,40,500,100,0,640,60,0,1,1,NA,2,0,0,0,0,0,2017-11-01,2017-09-19,1,32,6,14,0,NA,0,0,1,0,1,13,NA,0,NA,NA,0,20000,3.5917346477508545,3
100723,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,NA,NA,NA,5,NA,NA,NA,NA,NA,11,3,2,1,1,1,3,3,3,NA,1,3,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2017-09-15,3,3,3,1,3,0,2000,0,0,0,0,0,0,2000,0,53000,12717,130,0,65847,120,0,1,3,NA,1,1,0,1,0,0,NA,2017-09-27,1,51,6,9,0,NA,1,0,0,0,1,10,NA,1,209000,0,0,0,2.2883338928222656,3
103269,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,4,1,4,4,4,4,4,NA,1,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2017-10-27,3,3,3,3,8,NA,2000,NA,NA,NA,NA,NA,NA,2000,NA,0,3350,1905,0,5255,40,0,1,2,NA,2,0,0,0,0,0,2017-11-10,2017-10-01,1,49,1,16,0,NA,1,0,0,0,5,16,NA,1,280000,226000,0,101000,0.8029993772506714,3
101838,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,7,3,1,3,3,3,3,3,NA,3,3,1,2,1,NA,NA,NA,1,0,1,NA,NA,NA,0,0,0,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2017-10-18,2,3,3,3,3,0,0,0,0,0,2000,0,0,2000,0,0,10000,1000,0,11000,100,0,1,1,NA,3,0,0,0,0,0,2017-11-01,2017-09-23,1,46,1,13,0,NA,1,0,0,0,4,16,NA,1,180000,110000,40000,20000,0.8029993772506714,3
101566,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,4,3,1,4,4,4,3,NA,1,4,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2017-10-11,3,1,2,9,9,NA,NA,NA,NA,NA,1000,NA,NA,1000,NA,0,0,1000,0,1000,40,20,1,1,0.3333333432674408,1,0,0,1,1,0,2017-10-25,2017-09-21,0,30,6,14,0,NA,1,0,0,0,1,8,NA,0,NA,NA,0,104000,0.4025716185569763,3
102443,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,1,1,1,3,3,3,NA,1,3,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2017-09-22,2,2,8,3,8,NA,1000,NA,NA,NA,1000,NA,NA,2000,NA,0,0,8965,0,8965,100,0,1,1,NA,2,0,0,0,0,0,2017-10-06,2017-09-20,0,32,6,14,0,NA,1,0,0,0,1,11,NA,0,NA,NA,15000,5500,0.6738958358764648,3
103462,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,3,3,3,3,3,NA,3,3,1,1,6,NA,NA,NA,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2017-10-13,3,3,3,3,3,0,1000,0,0,0,1000,0,0,2000,0,0,2000,0,0,2000,100,20,2,3,2,1,0,1,1,1,0,2017-10-27,2017-09-22,1,53,2,14,0,NA,1,0,0,0,1,14,NA,1,320000,137000,0,5000,0.39683353900909424,3
102626,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,4,NA,9,NA,NA,NA,NA,NA,NA,NA,4,2,4,1,4,4,4,4,4,NA,1,4,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2017-09-29,3,3,3,3,3,2000,NA,NA,NA,NA,NA,NA,NA,2000,NA,1000,1000,4000,0,6000,60,0,1,2,NA,1,0,0,0,0,0,2017-11-22,2017-09-21,1,48,1,13,0,NA,1,0,0,0,5,15,NA,1,875000,600000,50000,5000,0.8029993772506714,3
101884,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,1,4,4,4,4,3,NA,1,4,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2017-09-22,3,3,3,2,3,0,0,0,0,0,1000,0,0,1000,0,0,0,1000,0,1000,40,0,1,1,NA,2,0,0,0,0,0,2017-10-20,2017-09-25,1,34,1,13,0,NA,1,0,0,0,3,14,NA,1,250000,175000,50000,20000,1.8386938571929932,3
102373,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,1,1,4,4,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2017-09-29,3,3,3,1,3,NA,600,NA,NA,NA,400,NA,NA,1000,NA,0,0,0,0,0,40,40,4,4.348214149475098,1,3,0,0,1,1,0,2017-10-13,2017-10-04,1,59,1,10,0,NA,1,0,0,0,2,13,NA,0,NA,NA,100000,275000,0.4012484848499298,3
102875,0,0,0,0,1,0,0,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,1,1,4,1,1,1,1,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2017-09-25,3,3,3,3,3,0,0,2000,0,0,0,0,0,2000,0,0,27000,0,0,27000,40,20,1,3,4,1,0,0,1,0,0,2017-12-12,2017-09-19,1,61,4,10,0,NA,1,0,0,0,1,4,NA,1,100000,0,5000,9000,0.4660629630088806,3
104563,1,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,2,NA,4,NA,NA,6,NA,NA,NA,NA,3,7,3,1,3,3,3,3,3,NA,2,3,2,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2017-10-24,7,3,3,1,3,NA,NA,NA,NA,NA,2000,NA,NA,2000,NA,0,0,2000,0,2000,100,100,2,0.3333333432674408,0.0833333358168602,2,0,0,1,1,0,2017-11-07,2017-09-30,1,33,6,13,0,NA,1,0,0,0,2,15,NA,1,500000,320000,250000,15000,1.7071291208267212,3
104129,0,0,0,0,0,1,0,NA,NA,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,4,1,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2017-10-01,3,9,3,3,NA,200,NA,NA,NA,NA,NA,NA,NA,200,NA,200,NA,NA,NA,200,40,0,4,4.348214149475098,NA,2,0,0,0,0,0,2017-11-01,2017-09-20,1,71,4,3,0,NA,1,0,0,0,2,3,NA,0,NA,NA,0,0,1.2894376516342163,3
104218,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,1,4,4,4,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,0,0,NA,NA,NA,1,2,NA,NA,NA,1,2017-10-19,3,3,3,1,3,0,1000,NA,NA,NA,1000,NA,NA,2000,NA,0,0,350,0,350,20,40,4,1,0.3333333432674408,2,0,0,1,1,0,2017-11-02,2017-09-24,1,55,1,13,0,NA,1,0,0,0,2,14,NA,0,NA,NA,30000,35000,0.28407198190689087,3
